registration_number,partner_departments,subjects,title_en,title_fr,description_en,description_fr,start_date,end_date,status,profile_page_en,profile_page_fr,report_available_online,report_link_en,report_link_fr,owner_org,owner_org_title
C-0000016,D64,TC,Consulting Canadians on a possible Canada-Pacific Alliance Free Trade Agreement,Consultation des Canadiens au sujet d’un accord de libre-échange possible entre le Canada et l’Alliance du Pacifique ,"Agriculture and Agri-Food Canada, along with Global Affairs Canada, and other relevant government departments and agencies, launched consultations with Canadians on August 12, 2017 regarding a potential Canada-Pacific Alliance Free Trade Agreement. Consultations include Face to Face meetings and Canada Gazette notice.","Agriculture et Agroalimentaire Canada, en collaboration avec  Affaires mondiales Canada, ainsi que d'autres ministères et agences pertinents,  ont initié des consultations avec les Canadiens le 12 août 2017 concernant un possible accord de libre-échange entre le Canada et l’Alliance du Pacifique.  Les consultations incluent des rencontres face-à-face et avis de la Gazette du Canada. ",2017-08-12,2018-12-31,C,http://www.international.gc.ca/trade-commerce/consultations/pacific-alliance-pacifique/index.aspx?lang=eng,http://www.international.gc.ca/trade-commerce/consultations/pacific-alliance-pacifique/index.aspx?lang=fra,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000023,,"AG,PO",Sector engagement for the design of the Dairy Processing Program,Atelier avec secteur pour la conception des Fonds d'investissement dans la transformation des produits laitiers," The purpose of these sessions was to develop a more precise understanding of the priorities and challenges faced by dairy processors as it pertains to potential investments towards improving productivity as well as gather feedback on program parameters and delivery of the Dairy Processing Investment Fund channels included an online questionnaire, conference calls and in person meetings.","Le but de ces ateliers était de développer une meilleure compréhension des priorités et défis rencontrés par les transformateurs laitiers en ce qui à trait aux investissements potentiels envers l'amélioration de la productivité et ainsi que les paramètres et la prestation des Fonds d'investissement dans la transofrmation des produits laitiers. Les différents canaux utilisés pour les ateliers incluaient un questionnaire en ligne, des appels conférences et des rencontres en personne.",2016-11-10,2016-12-16,C,http://www.agr.gc.ca/eng/about-us/public-opinion-and-consultations/investing-in-the-dairy-sector-programs-to-support-the-sector-in-anticipation-of-canada-european-union-trade-agreement/?id=1463512890911,http://www.agr.gc.ca/fra/a-propos-de-nous/opinion-publique-et-consultations/investir-dans-le-secteur-laitier-des-programmes-afin-d-aider-le-secteur-a-se-preparer-pour-l-accord-commercial-entre-le-canada-et-l-union-europeenne/?id=1463512890911,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000047,,"AG,PO,RE,TR",Share ideas: Review of the Canada Grain Act,Consultation : Examen de la Loi sur les grain du Canada,"Agriculture and Agri-Food Canada (AAFC), in collaboration with the Canadian Grain Commission (CGC), is leading a review of the Canada Grain Act. AAFC and the CGC launched an online consultation to engage stakeholders in the grain sector. The process will provide background information on areas of focus in the review, and solicit stakeholder views, to inform policy development in 2021.",Agriculture et Agroalimentaire Canada (AAC) dirige un examen de la Loi sur les grains du Canada en collaboration avec la Commission canadienne des grains (CCG). AAC et la CCG ont lancé une consultation en ligne afin de permettre aux intervenants du secteur des grains à participer à l’examen de la Loi. Ce processus consistera à fournir des renseignements de base sur les domaines d'intérêt de l'examen et à recueillir les points de vue des intervenants pour éclairer l'élaboration de politiques en 2021.,2021-01-12,2021-04-30,O,https://www.agr.gc.ca/eng/about-our-department/public-opinion-and-consultations/share-ideas-canada-grain-act-review/?id=1610042594982,https://www.agr.gc.ca/fra/a-propos-de-notre-ministere/opinion-publique-et-consulations/consultation-examen-de-la-loi-sur-les-grains-du-canada/?id=1610042594982,N,N/A,N/A,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000034,,AG,Public Hearings for the Inquiry into the merits of establishing a Canadian Industrial Hemp Promotion and Research Agency,Audiences publiques dans le cadre d'une enquête visant à évaluer le bien-fondé de la création d'un office canadien de recherche et de promotion pour le chanvre industriel,"Under section 8 of the Farm Products Agencies Act, the Farm Products Council of Canada accepted an application from the Canadian Hemp Producers and will hear arguments from Canadian commodity producers, importers, researchers, retailers and consumers on the merits of the proposal in Winnipeg, Manitoba.","En vertu de l'article 8 de la Loi sur les offices des produits agricoles, le Conseil des produits agricoles du Canada a accepté une application de la part des Producteurs de chanvre canadiens et entendra les arguments de producteurs de denrée, importateurs, chercheurs, détaillants et consommateurs canadiens sur le bien-fondé de la proposition à Winnipeg, Manitoba.",2018-10-13,2019-01-30,C,http://fpcc-cpac.gc.ca/index.php/en-GB/publichearingsetc/applications-received/hemp,http://fpcc-cpac.gc.ca/index.php/fr-FR/audiences-publiques/proporecue/le-chanvre,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002973,,AM,Acts and Regulations - Canadian Pari-Mutuel Agency,Lois et règlements - Agence canadienne du pari mutuel,Not Available,Sans objet,2014-09-24,2014-10-17,C,http://www5.agr.gc.ca/eng/about-us/partners-and-agencies/canadian-pari-mutuel-agency/proposals-amending-the-pari-mutuel-betting-supervision-regulations-2014/?id=1411397570646,http://www5.agr.gc.ca/fra/a-propos-de-nous/partenaires-et-agences/agence-canadienne-du-pari-mutuel/propositions-visant-a-modifier-le-reglement-sur-la-surveillance-du-pari-mutuel-2014/?id=1411397570646,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002231,,"AG,RE",Consultation: Modernizing Canada's livestock feed regulations,Consultation : Modernisation du Règlement sur les aliments du bétail du Canada,Not Available,Sans objet,2012-08-03,2012-10-05,C,http://www.inspection.gc.ca/animals/feeds/consultations/modernization/eng/1343918072836/1343918142175,http://www.inspection.gc.ca/animaux/aliments-du-betail/consultations/modernisation/fra/1343918072836/1343918142175,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002039,,AG,Growing Forward 2 - Phase 2,Cultivons l'avenir - Phase 2,Not Available,Sans objet,2011-03-01,2011-09-30,C,http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1298580210587&lang=eng,http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1298580210587&lang=fra,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002065,,"AG,ST",Regional Research User Meetings,Rencontres régionales des utilisateurs de la recherche,Not Available,Sans objet,2010-05-01,2010-11-30,C,http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1271850525455&lang=eng,http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1271850525455&lang=fra,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002481,,AG,Modernizing Crop Variety Registration in Canada,La modernisation de l'enregistrement des variétés de cultures au Canada,Not Available,Sans objet,2013-08-06,2013-11-30,C,http://www.agr.gc.ca/CropVR,http://www.agr.gc.ca/EVCultures,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
A-002038,,AG,Growing Forward 2 - Phase 1,Cultivons l'avenir 2 - Phase 1,Not Available,Sans objet,2010-05-01,2010-06-30,C,http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1317071908388&lang=eng,http://www4.agr.gc.ca/AAFC-AAC/display-afficher.do?id=1317071908388&lang=fra,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000007,D206,"AG,CM,CU,DV,ED,FA,PO,RU,TF",Canadian Agricultural Partnership,Partnerariat canadien pour l'agriculture,"This consultation was held in 3 parts:
1- Online Consultation Phase I
2- Online Consultation Phase II
3- Facilitated National Engagement Sessions

PHASE I - Gather stakeholder feedback on experience and challenges with the current Growing Forward 2 Framework.

Federal, provincial and territorial (FPT) governments are working together to develop the next agricultural policy framework.
Online consultations and questionnaires

Consultation Methods: Information provided on website, targeted mail out to farm families across Canada informing them of the survey; Facebook advertising directing people to survey.

PHASE II gathered perspectives and feedback on proposed priorities for the Next Policy Framework.   

Online consultations and questionnaires

Consultation Methods: Information provided on website, targeted mail out to farm families across Canada informing them of the survey; Facebook advertising directing people to survey.

Consultation Methods: Three facilitated national engagement sessions (June, October and November 2016) that included a wide range of stakeholders and provincial representatives. Ministerial calls with key stakeholder organizations to hear their perspectives; focused roundtables with key stakeholder groups (women, youth). ","La consultation a été réalisée en trois volets :
1- Consultation en ligne, phase I
2- Consultation en ligne, phase II
3- Séances de consultation nationales dirigées

PHASE I – Recueillir la rétroaction des intervenants sur leur expérience de l’actuel cadre Cultivons l’avenir 2 et les difficultés qu’ils rencontrent.

Les gouvernements fédéral, provinciaux et territoriaux (FPT) travaillent ensemble à l’établissement du prochain cadre stratégique pour l’agriculture.
Consultations et questionnaires en ligne

Méthodes de consultation : Renseignements fournis sur le site Web; envoi postal aux familles agricoles du Canada pour les informer du sondage; publicité sur Facebook invitant les gens à répondre au sondage.

PHASE II – Recueillir l’opinion des gens et leur rétroaction sur les priorités proposées du prochain cadre stratégique.

Consultations et questionnaires en ligne

Méthodes de consultation : Renseignements fournis sur le site Web; envoi postal aux familles agricoles du Canada pour les informer du sondage; publicité sur Facebook invitant les gens à répondre au sondage.

Méthodes de consultation : Trois séances de consultation nationales dirigées (juin, octobre et novembre 2016) avec un grand nombre d’intervenants et de représentants provinciaux. Entretiens du ministre avec d’importantes organisations d’intervenants pour recueillir leur point de vue; tables rondes ciblées avec des groupes d’intervenants (femmes, jeunes).",2016-05-01,2016-12-01,C,http://www.agr.gc.ca/eng/about-us/public-opinion-and-consultations/consulting-on-the-next-agricultural-policy-framework/?id=1461767905189,http://www.agr.gc.ca/fra/a-propos-de-nous/opinion-publique-et-consultations/consultation-sur-le-prochain-cadre-strategique-pour-l-agriculture/?id=1461767905189,Y,http://www.agr.gc.ca/eng/about-us/public-opinion-and-consultations/consulting-on-the-next-agricultural-policy-framework/results-of-consultations-on-the-development-of-the-next-agricultural-policy-framework/?id=1476470856238,http://www.agr.gc.ca/fra/a-propos-de-nous/opinion-publique-et-consultations/consultation-sur-le-prochain-cadre-strategique-pour-l-agriculture/resultats-des-consultations-concernant-l-elaboration-du-prochain-cadre-strategique-pour-l-agriculture/?id=1476470856238,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000042,,AG,Canadian Biopesticides and Minor Use Pesticides Priority Setting Workshop,Ateliers canadiens de priorisation des biopesticides et pesticides à usage limité,Annual workshop with stakeholders to select priority projects for AAFC's Pest Management Centre. ,Atelier annuel avec les intervenants pour choisir les projets prioritaires du Centre de la lutte antiparasitaire d'AAC. ,2020-07-09,2020-07-09,C,http://www.agr.gc.ca/eng/science-and-innovation/agriculture-and-agri-food-research-centres-and-collections/ontario/pest-management-centre/minor-use-pesticides-at-the-pest-management-centre/minor-use-pesticides/?id=1534462314621#a2,http://www.agr.gc.ca/fra/science-et-innovation/centres-de-recherche-et-collections-sur-l-agriculture-et-l-agroalimentaire/ontario/centre-de-la-lutte-antiparasitaire/les-pesticides-a-usage-limite-au-centre-de-la-lutte-antiparasitaire/pesticides-a-usage-limite/?id=1534462314621,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000038,,AG,Canadian Grain Commission- Falling Number and DON as Potential Grading Factors,Possibilité d’appliquer l’indice de chute et le désoxynivalénol (DON) comme facteurs officiels de classement des grains,Feedback will help shape the proposal and next steps.,Rétroaction aidera à l’élaboration de la proposition et aux prochaines étapes.,2019-03-11,2019-05-10,C,https://www.grainscanada.gc.ca/en/about-us/consultations/2019/falling-number-don.html,https://www.grainscanada.gc.ca/fr/propos-nous/consultations/2019/indice-chute-don.html,Y,https://www.grainscanada.gc.ca/en/about-us/consultations/2019/stakeholder-discussion.html,https://www.grainscanada.gc.ca/fr/propos-nous/consultations/2019/discussion-avec-intervenants.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000041,,FD,Local Food Infrastructure Fund (LFIF) Program ,Le Fonds des infrastructures alimentaires locales (FIAL),Seeking feedback from stakeholders about the parameters of the Local Food Infastructure Fund. The feedback is  to be implemented in the future calls for applications.,Solliciter la contribution des intervenants sur les paramètres du Fonds des infrastructure alimentaires locales. La rétroaction sera mise en œuvre dans les futures demande de candidatures.,2019-06-17,2019-09-11,C,https://canada-preview.adobecqms.net/en/campaign/food-policy.html,https://canada-preview.adobecqms.net/fr/campagne/politique-alimentaire.html,Y,https://www.canada.ca/en/campaign/food-policy/consulting-with-canadians/local-food-infrastructure-fund-consultations-what-we-heard-report.html,https://www.canada.ca/fr/campagne/politique-alimentaire/consultation-des-canadiens/rapport-sur-ce-que-nous-avons-entendu-consultations-de-fonds-des-infrastructures-alimentaires-locales.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000003,,AG,Canadian Grain Commission - Canadian grain grading system modernization,Commission canadienne des grains - modernisation du système de classement des grains du Canada ,Feedback that will help develop proposals to amend and update the grading system and next steps.,"Les commentaires aideront à formuler des propositions en vue de modifier et actualiser le système de classement, et à déterminer les prochaines étapes.",2019-02-01,2020-03-31,C,https://grainscanada.gc.ca/en/grain-quality/grain-grading/setting-changing-grades/grain-grading-modernization.html,https://grainscanada.gc.ca/fr/qualite-grains/classement-des-grains/etablissement-modification-grain/modernisation-classement-grains.html,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000009,,"AG,CM,CU,DV,ED,FA,PO,RU,TF","First Nations Outreach Sessions 
- Western Canada
- Eastern Canada","Séance de sensibilisation aux Premières Nations 
- l'Ouest canadien
- l'Est canadien","Two facilitated First Nation outreach sessions (Edmonton on April 19, 2017 and Montreal on June 1, 2017) that included presentations by departmental officials and Indigenous leaders, as well as breakout discussions.

The purpose of these meetings was:
• to hear First Nations’ perspectives regarding agricultural issues, challenges and opportunities;
• to share information and get feedback on AAFC programs and future plans, including the Canadian Agricultural Partnership; and
• to seek input on engaging and working collaboratively with First Nations.

A “What We Heard” report will follow. 

Outreach is also planned with Métis and Inuit. Details will be forthcoming.","Deux séances de sensibilisation aux Premières Nations (Edmonton le 19 avril 2017 et Montréal le 1er juin 2017) facilitées qui compris des présentations par des fonctionnaires ministériels et des dirigeants autochtones, aussi bien que des séances de discussion.

Le but de ces réunions était:
• Entendre le point de vue des Premières Nations en ce qui concerne les enjeux, les défis et les possibilités dans le secteur agricole;
• Échanger des renseignements et obtenir des commentaires sur les programmes et les projets d’AAC, y compris le prochain cadre stratégique pour l’agriculture;
• Obtenir de l’information sur la façon de collaborer avec les Premières Nations.

Un rapport « Ce que nous avons entendu » suivra.

La sensibilisation est aussi prévue avec les Métis et Inuits. Des détails seront disponibles bientôt.",2017-04-19,2017-10-01,C,N/A,S/O,Y,http://www.agr.gc.ca./eng/about-us/key-departmental-initiatives/working-with-indigenous-peoples-in-canadian-agriculture/building-relationships-with-indigenous-peoples/what-we-heard-first-nation-outreach-sessions-spring-2017/?id=1527720564716,http://www.agr.gc.ca./eng/about-us/key-departmental-initiatives/working-with-indigenous-peoples-in-canadian-agriculture/building-relationships-with-indigenous-peoples/what-we-heard-first-nation-outreach-sessions-spring-2017/?id=1527720564716,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000031,D141,"AG,EM,IM,LT",Primary Agriculture Review,L’examen du volet Agriculture primaire,"As part of the Temporary Foreign Worker Program's Primary Agriculture Review, Employment and Social Development Canada in collaboration with Agriculture and Agri-Food Canada is undertaking in-person and online consultations with stakeholders to allow their insights, ideas and experiences to be shared. The objective of the Primary Agriculture Review is to work with agriculture and food processing employer representatives and labour and advocacy groups to explore potential options to modernize the Primary Agriculture Stream to meet the changing needs and priorities of the Canadian agricultural sector. ","Dans le cadre de l’examen du volet Agriculture primaire du Programme des travailleurs étrangers temporaires, Emploi et Développement social Canada, en collaboration avec Agriculture et Agroalimentaire Canada, entreprend des consultations en personne et en ligne auprès des intervenants afin de partager leur point de vue, leurs idées et leurs expériences. L’objectif de l’examen du volet Agriculture primaire est de collaborer avec les représentants des employeurs, des syndicats et des groupes de défense dans les secteurs de l’agriculture et de la transformation des aliments afin d’explorer les options possibles pour moderniser le volet Agriculture primaire afin de répondre aux besoins et aux priorités changeants du secteur agricole canadien. ",2018-05-16,2018-07-27,C,https://www.canada.ca/en/employment-social-development/programs/temporary-foreign-worker/consultation-primary-agriculture-review.html,https://www.canada.ca/fr/emploi-developpement-social/programmes/travailleurs-etrangers-temporaires/consultation-examen-secteur-agriculture-primaire.html,Y,https://www.canada.ca/en/employment-social-development/services/foreign-workers/reports/primary-agriculture.html,https://www.canada.ca/fr/emploi-developpement-social/services/travailleurs-etrangers/rapports/agriculture-primaire.html,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000036,"D206,D235","AG,EC,FD,IN,PO",Review of “Product of Canada” and “Made in Canada” Labelling Guidelines - Food Industry Validation Questions,Examen des lignes directrices sur l’inscription des allégations « Produit du Canada » et « Fabriqué au Canada » sur les étiquettes - Questions de validation à l’intention des intervenants de l’industrie alimentaire,"Agriculture and Agri-Food Canada is seeking industry feedback to inform decision-making as the Government of Canada considers potential changes to ""Product of Canada"" and ""Made in Canada"" voluntary labelling guidelines. ","Agriculture et Agroalimentaire Canada sollicite les commentaires de l'industrie pour éclairer le processus décisionnel, alors que le gouvernement du Canada envisage des modifications éventuelles aux lignes directrices sur l'étiquetage volontaire «Produit du Canada» et «Fabriqué au Canada».",2019-03-14,2019-04-18,C,N/A,S/O,Y,https://www5.agr.gc.ca/eng/about-us/public-opinion-research-and-consultations/engagement-with-food-industry-stakeholders-on-revisions-to-product-of-canada-and-made-in-canada-labelling-what-we-heard-report/?id=1558731970394,https://www5.agr.gc.ca/fra/a-propos-de-nous/recherche-en-opinion-publique-et-consultations/engagement-avec-les-intervenants-de-l-industrie-alimentaire-concernant-les-revisions-apportees-a-l-etiquetage-du-produit-du-canada-et-fabrique-au-canada-rapport-sur-ce-que-nous-avons-entendu/?id=1558731970394,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
C-0000015,D64,TC,Renegotiation of the North American Free Trade Agreement (NAFTA) or NAFTA 2.0,Renégociation de l'Accord de libre-échange nord-américain (ALÉNA) ou ALÉNA 2.0,"Agriculture and Agri-Food Canada, along with Global Affairs Canada, and other relevant government departments and agencies, launched  consultations in early 2017 with Canadians regarding re-negotiation of NAFTA.  Consultations include Face to Face meetings/ Canada Gazette notice/ Webinars/ and conference calls. ","Agriculture et Agroalimentaire Canada, en collaboration avec  Affaires mondiales Canada, ainsi que d'autres ministères et agences pertinents,  ont initié des consultations au début de l’année 2017 avec les Canadiens concernant la renégociation de l'ALÉNA.  Les consultations incluent des rencontres face-à-face/avis de la Gazette du Canada/webinaires/ et conférences téléphoniques. ",2017-06-03,2018-12-31,C,https://www.canada.ca/en/global-affairs/news/2017/06/government_welcomescanadiansviewsonnafta.html,https://www.canada.ca/fr/affaires-mondiales/nouvelles/2017/06/le_gouvernement_invitelescanadiensadonnerleurspointsdevuesurlacc.html,N,,,aafc-aac,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada
